Feature,Publish,A30,A20,A15,A10,A200,A100,"A Special",DA10,DA100,List Order
CPU,Yes,"Intel Low Power Quad Core","Intel Low Power Quad Core","Intel Low Power Quad Core","AMD Dual Core (9W)","Intel Low Power Quad Core","AMD Dual Core (9W)","RK3588 (Octa-core) 2.4Ghz, 8G/32G","RK3588 (Octa-core) 2.4Ghz, 8G/32G","RK3588 (Octa-core) 2.4Ghz, 8G/32G",1
SSD for System and Cache,Yes,"480GB NVMe","480GB NVMe","240GB NVMe","120GB 2.5""","240GB NVMe","120GB 2.5""","240GB PCI3.0x","-","-",2
Front Panel Display,Yes,"8.8"" 1920 x 480 WIDE IPS COLOR LCD","8.8"" 1920 x 480 WIDE IPS COLOR LCD","6.9″ 1280 x 480 WIDE IPS COLOR LCD","3.0"" AMOLED","6.9″ 1280 x 480 WIDE IPS COLOR LCD","3.0"" AMOLED","8.8"" 1920x480 IPS LCD ","8.8"" 1920x480 IPS LCD ","8.8"" 1920x480 IPS LCD ",3
System Memory,Yes,8GB,8GB,8GB,4GB,8GB,4GB,8G/32G,8G/32G,8G/32G,4
SPDIF Digital Audio Inputs,Yes,"1 x RCA / 1 x BNC / 2 x TOSLINK up to 24-bit / 192 kHz","1 x RCA / 1 x BNC / 2 x TOSLINK up to 24-bit / 192 kHz","1 x TOSLINK, 1 x RCA ",1 x TOSLINK,"1 x TOSLINK, 1 x RCA ",1 x TOSLINK,"1x",1x,1x,7
DAC Chipset,Yes,"AKM AK4497 Dual-Mono Design with Dual-Mono Linear Power Supplies","AKM AK4497 Dual-Mono Design with Dual-Mono Linear Power Supplies","AK4490 Dual-Mono Design with Dual-Mono Linear Power Supplies","AK4490 Dual-Mono Design with Dual-Mono Linear Power Supplies",AKM AK4490 x 1 (Single Stereo Design),AKM AK4490 x 1 (Single Stereo Design),"AKM4499EX Quad (2x/CH)","AKM4499EX Quad (2x/CH)","AKM4499EX Dual (1x/ CH)",8
Analog Audio Outputs,Yes,"Unbalanced (RCA): 2.0 or 2.7 Vrms / Balanced (XLR): 4.0 or 5.4 Vrms selectable","Unbalanced (RCA): 2.0 or 2.7 Vrms / Balanced (XLR): 4.0 or 5.4 Vrms selectable","Unbalanced (RCA): 2.0 Vrms / Balanced (XLR): 4.0 Vrms","Unbalanced (RCA): 2.0 Vrms / Balanced (XLR): 4.0 Vrms",Unbalanced (RCA): 2.0 Vrms ,Unbalanced (RCA): 2.0 Vrms,"1x XLR, 1x RCA","1x XLR, 1x RCA","1x XLR, 1x RCA",9
Analog Audio Outputs Supported Format,Yes,"PCM: Up to 32bit / 768kHz, DSD : Up to 512","PCM: Up to 32bit / 768kHz, DSD : Up to 512","PCM: Up to 32bit / 768kHz, DSD : Up to 512","PCM: Up to 32bit / 384kHz, DSD: DoP Up to 128","PCM: Up to 32bit / 768kHz, DSD : Up to 512","PCM: Up to 32bit / 384kHz, DSD: DoP Up to 128","PCM 32bit/768Khz, DSD1024 (native)","PCM 32bit/768Khz, DSD1024 (native)","PCM 32bit/768Khz, DSD1024 (native)",10
USB Audio Output Supported Format,Yes,"PCM: Up to 32bit / 768kHz DSD: DoP Up to 256 , Native DSD Up to 512","PCM: Up to 32bit / 768kHz DSD: DoP Up to 256 , Native DSD Up to 512","PCM: Up to 32bit / 768kHz DSD: DoP Up to 256 , Native DSD Up to 512","PCM: up to 32-bit / 384 kHz DSD: DoP DSD64, DSD128","PCM: Up to 32bit / 768kHz DSD: DoP Up to 256 , Native DSD Up to 512","PCM: up to 32-bit / 384 kHz DSD: DoP DSD64, DSD128","PCM: Up to 32bit / 768kHz DSD: DoP Up to 256 , Native DSD Up to 512","PCM: Up to 32bit / 768kHz DSD: DoP Up to 256 , Native DSD Up to 512","PCM: Up to 32bit / 768kHz DSD: DoP Up to 256 , Native DSD Up to 512",11
Audio Master Clock,Yes,"OCXO Based Precision Jitter Reducing Clock Generator","OCXO Based Precision Jitter Reducing Clock Generator","TCXO Based Precision Jitter Reducing Clock Generator","TCXO Based Precision Jitter Reducing Clock Generator","TCXO Based Precision Jitter Reducing Clock Generator","TCXO Based Precision Jitter Reducing Clock Generator","OCXO & FPGA high precision","OCXO & FPGA high precision","TCXO & FPGA high precision",12
